reviewId,content,score
13541092-61d8-4a03-a2f4-411a22606518,Nice app,5
8381c4a2-1f69-4a6f-be5b-c14a2001ad1e,Best app,5
3fdc5286-06a9-4246-b18b-22cf70e9ac3c,😂,5
43630a50-d07f-4b41-934d-cd7858c3dac7,Good,5
ee78463e-d29f-4c59-abd4-fe3a5e63c299,🧬,1
00b8be48-8444-4651-a036-5b3fb4744863,Best this foe all India app is most buttyfull app and responsibilities,5
52254ef3-f07b-4b56-8f8d-bb508f1cecbd,🔥👑✌️💯,5
a18dd3fc-2589-443a-9338-742109989739,This is the one of the time wasting app but this app is my favourite 🎀,5
092a09fd-ab52-4fac-8c38-4b7f308ee979,Very easy to operae i love it,5
1ef2a2a0-b769-48ad-811a-b8a8bff08f93,It's wonderful platform,5
4a18a442-ab6a-41e4-9507-e47c6b7ac181,Excellent,5
f1b4c12f-3ee9-48b1-a185-a631d4b2d942,Suraj Raj Kumar,5
e4a9bfc0-c7b6-44a8-afc8-10e0a762efb5,I love it,5
66522c62-eadd-416a-8b00-c29ada199932,Yhis app is so cool thanks jakarbarg to us this app,4
48310a58-7bc4-44ff-88c1-27aeb9212c3e,Viral hona hai,5
9d3c981f-69a2-4aa5-a743-24626989cb0b,Nice app,5
bb46e326-d705-4d99-a095-c94ac5d7ed91,Amazing,5
1deabc98-5f99-4bb7-b125-b4e1098d9c3b,Super app,5
f7db1bc0-b458-4586-9357-55a3e8d894c4,Thanks you so you Instagram lover me 😍,5
c57c2944-87ce-4e76-9b9a-36a6567e99d1,Nice,5
20acaccc-2026-4050-b861-ca34653e4c0b,Very nice,5
b5213520-a717-4c2f-ac4c-63b15e6cae20,Awesome,5
075dc683-aa4f-46f9-ba1e-14db59da039c,update Instagram messenger on,5
897ca8d7-a1dd-4aa8-ac9c-fc121cfd1a6e,જયદિપ,5
d8fd186c-6bbf-4da4-8035-d19459c43437,Ghatiya app,4
e5f8ab8b-2352-443d-9991-1874074a17f7,This app is fantastic I like this app mostly| Thanks Instagram members 🙏🙏👍👍,5
690108cb-c010-43de-984d-e0b332ebe814,Wonderful,5
393b15f0-fe1e-476f-9c4a-de2d64709646,Very best so mouch nice app,5
759cdc89-c288-43e3-af2e-dea8a971ca56,amazing,4
61918250-2e04-43c8-8297-54d890088e90,My instagram account was hacked on 15 Oct 2024. I sent you email along with chaser email & still I haven't received any response. Pathetic service I am getting from your team.,1
08c7dc72-bf1a-4939-8b5a-4b23d05c54a9,Allah hu Akbar🤲,5
8156d629-8ea9-41c1-8a72-8c2a6149a22f,I like it,5
f64178fc-3ba0-4432-95ee-db52317158c8,Nice app,5
f7a749f8-bb24-4d93-998d-7b891bd8f413,Very,5
ebcd1446-e97e-4fa2-a142-87ec60336879,When I wait for my friends Instagram makes the time go bye,5
cce3a132-ba19-4989-a88d-226c64904bef,I love it,5
ece79879-a44b-4ab3-8606-3568b9a14c66,"Adult content showing, nuidy content more showing",3
d2126e24-7fd7-4f5e-a83a-144cff8b265d,Nice,5
ba8a5f3f-4d3e-4172-90cb-283b11e0af52,very good,4
7f6cf0d4-8731-4652-bfb5-edd20a39b541,Benkoooo Bhaiiiiiii,5
a46882c0-2d34-4822-a329-38a89fb11b81,Nice 👍🏻,5
6ff68fa5-a278-4bd0-8cc9-85519492b13b,Oooo I have interesting ✌❤,5
f38a10a6-92f7-4ed9-ac47-097914969321,Great app,5
fa45f748-8239-4a9e-827d-bd042f072b09,This is the best app,5
33ebb4bb-11bc-4253-ae84-8f0d20a1977d,Very good app I like it good social media platform 😊❣️❣️,5
8a0805cc-51f3-4722-96f6-da91e570d419,Thanks meta i am very happy 😊 My insta page is grow but monetize nhi hai monetize krdo plz,5
b38935a9-9bb6-4b08-96e0-0cff6edb4279,Londiya baaz aap hai,1
e38b5be6-78a1-4372-b3eb-b339c152a4b2,Good application awesome ♥️♥️❤️,5
4960c1ae-2bb1-4b86-a527-9f191cee7d3a,Bitter appp,5
e47ac32f-bf56-4882-b0fc-003376925c0d,My best friend इन्स्टा,5
bf9a00c6-6808-4584-a145-26878c4a1a68,My fav app🥰,5
d4fd14aa-5315-4b2a-abb0-10ecfbeaa9c9,Very Beautiful app.. 🥰,5
7ee64695-6173-472f-aa39-5eddb06c9198,Nice 👍,5
76cdc1f6-16cc-4de2-9ed9-0add976997e6,My follow my views my like is jaldi jaldi bade yah hai Mera description aur meri ID per 1 din mein 30 follower bade aur ek din mein raaton Raat mein mere video par like 10000 aur 40000 aur 60000 aise bhi meri video per aur meri video lock share Karen meri video per comment bhi aaye 10000,5
25c3627d-c5b9-46a6-a0db-e3af7a232ca8,Insta re gate jhia patuni e Bala app kichhi kamare nuha 😡😡😡,1
5b5e6663-0f11-416b-8cd8-41d08ef52cd7,so beautiful 🥰,5
b05eb6dc-b2ef-4e66-9e12-bc6183b640d9,Good,5
816e83ce-0bb0-4291-8e4b-61c747d8661f,Instagram is kip for help full With joys one 🤗🤗🤗😉😉😉,3
dd32d03e-4396-444d-a9ab-74b317efba5c,Thik hai,1
fd1f3e35-b2ba-4ba1-ac2e-023fbc0b9754,Good,5
ca1db590-919b-4b5c-b07a-fba6a45deec3,Mohdali Sk,5
b34ccaa4-dcd2-4af7-8822-3d38dd5f7c37,super💖✨,5
3b749e33-f064-4394-b8a1-7a8f5ea2abd3,Best app,5
a4579a5a-1aff-42f5-975a-7c5df029236f,Wonderful 😊,5
d9c0623b-4fd8-447c-a185-87b75bb767a1,Great app ...,5
0b2d425c-ddb6-4591-9e1a-d07592210f2d,It's so good,5
2e60b367-5cad-49b3-8a9b-b54092c15e2d,Superb,5
239c603b-5482-4a4a-989f-3f16818f478e,I will always be with you 😘,5
5909a30c-8e65-4886-89a5-3dd03049449f,"Iss Ghatiya app ko koi bhi install mat karna, salla Ek bhi ladki reply nahi karti iss app mein",1
668f11b4-a3d5-49cb-8148-8bf7a02fac17,Ok,5
fc40cb9f-729b-4ddf-8a25-8cf42d2b557b,Cool,5
d4119dca-caea-4893-a961-0cd9fadc48eb,Its bad asf,1
967dfa1c-a389-4dc4-8f32-23e4e9977ce9,"When uploading posts including both portrait and landscape format images, even though one chooses the mixed option, the final format usually ends being either one or the other, not both mixed. The images in the final post look this way in Android devices, but not in iPhones. I think this need to be fixed.",3
ca1a1082-efc0-44bf-8f60-e3db6b190831,Can't even login my account,1
dbc080a3-fade-4570-9a7f-a4ad90ce39b5,Good,5
41da1ba0-a590-44db-9d6c-5a9c372592ee,good,5
c3259753-6913-4f1b-9da1-9653e168a5ba,Ye bahut achha app hai,5
ec45b03c-8cf0-45ff-b8e3-0ea5d59b745e,Jay Shri Krishna,5
e7e044c3-0a24-449d-bb16-3fee704e327a,Worst app,1
deb1c571-5481-4265-bf6a-79979557fc4d,I probably hate Instagram rn. I'm just trying to connect my Facebook in my ig account but it's not working. And now I can't even freaking open it or log in on it. Hope they fix this kind of bug because it won't let me log in using my Facebook unlike before.,1
96ed2089-0835-4fdb-adb6-53b08a072e97,Good,5
a58030f9-efca-487b-80fc-2895eb8925d1,Loveli,5
dc9d60ad-6731-4f11-a666-e319cbbbb218,Best aap,5
70c96789-5849-42ae-86df-568d1cdbdb81,Marvelous experience,5
9fcadc15-7275-4041-a36d-16aa85bedb78,Nais app,5
9f592483-7628-4b96-bc3a-f4483f9acfda,Op in the coment,4
45090b34-5b82-4788-a46a-f1ee8a182efc,I'm not able to log in even I tried to reset my password. My password is shown incorrect. I think I will be never able to recover my account 😢 😭 . Pls help me to get my account back still I m not able to recover my account,1
b8791928-584d-4e81-84c6-17c70163eeaf,Hoda useful app ekak,1
88aa6295-2086-42de-8f71-bda894a73ba1,Please on freeze my Instagram account,5
707c993e-9fa3-4d4d-af81-ea5417707609,While scrolling the video does not want to play. After updated it didn't work. And also there's no sound. Sucks!!!,1
1094f064-6725-4c84-a5a5-76b03f925c75,I can't rate this app because it's frustrating I hate a lot when you open Nigeria account it will be suspended immediately why,1
9b0e8e90-99ab-4429-b553-f7b3e72fa55f,Achha hai,5
